old_hts10,new_hts10,effective_date,change_type,partial,action_old,action_new,nomenclature,same_date_reuse,source_doc,source_doc_sha256,source_page,source_row_id,override_id
0703104065,0703104055,2025-01-01,split,TRUE,Discontinued,Established,HTS,FALSE,484f_2025-01.pdf,48a5e8fb7bcb98cee0d2ac3757768f7a618bc8794da39dbc35358cf501cf337b,2,484f_2025-01.pdf#r0005;484f_2025-01.pdf#r0008,NA
0703104065,0703104060,2025-01-01,split,TRUE,Discontinued,Established,HTS,FALSE,484f_2025-01.pdf,48a5e8fb7bcb98cee0d2ac3757768f7a618bc8794da39dbc35358cf501cf337b,2,484f_2025-01.pdf#r0006;484f_2025-01.pdf#r0008,NA
0703104065,0703104064,2025-01-01,split,TRUE,Discontinued,Established,HTS,FALSE,484f_2025-01.pdf,48a5e8fb7bcb98cee0d2ac3757768f7a618bc8794da39dbc35358cf501cf337b,2,484f_2025-01.pdf#r0007;484f_2025-01.pdf#r0008,NA
0703104065,0703104066,2025-01-01,split,TRUE,Discontinued,Established,HTS,FALSE,484f_2025-01.pdf,48a5e8fb7bcb98cee0d2ac3757768f7a618bc8794da39dbc35358cf501cf337b,2,484f_2025-01.pdf#r0008;484f_2025-01.pdf#r0009,NA
0703104065,0703104068,2025-01-01,split,TRUE,Discontinued,Established,HTS,FALSE,484f_2025-01.pdf,48a5e8fb7bcb98cee0d2ac3757768f7a618bc8794da39dbc35358cf501cf337b,2,484f_2025-01.pdf#r0008;484f_2025-01.pdf#r0010,NA
0708209010,0708209020,2025-01-01,split,TRUE,Discontinued,Established,HTS,FALSE,484f_2025-01.pdf,48a5e8fb7bcb98cee0d2ac3757768f7a618bc8794da39dbc35358cf501cf337b,3,484f_2025-01.pdf#r0011;484f_2025-01.pdf#r0012,NA
0708209010,0708209040,2025-01-01,split,TRUE,Discontinued,Established,HTS,FALSE,484f_2025-01.pdf,48a5e8fb7bcb98cee0d2ac3757768f7a618bc8794da39dbc35358cf501cf337b,3,484f_2025-01.pdf#r0011;484f_2025-01.pdf#r0013,NA
0708209010,0708209060,2025-01-01,split,TRUE,Discontinued,Established,HTS,FALSE,484f_2025-01.pdf,48a5e8fb7bcb98cee0d2ac3757768f7a618bc8794da39dbc35358cf501cf337b,3,484f_2025-01.pdf#r0011;484f_2025-01.pdf#r0014,NA
0709302000,0709302020,2025-01-01,split,TRUE,Annotated,Established,HTS,FALSE,484f_2025-01.pdf,48a5e8fb7bcb98cee0d2ac3757768f7a618bc8794da39dbc35358cf501cf337b,4,484f_2025-01.pdf#r0015;484f_2025-01.pdf#r0016,NA
0709302000,0709302040,2025-01-01,split,TRUE,Annotated,Established,HTS,FALSE,484f_2025-01.pdf,48a5e8fb7bcb98cee0d2ac3757768f7a618bc8794da39dbc35358cf501cf337b,4,484f_2025-01.pdf#r0015;484f_2025-01.pdf#r0017,NA
0709302000,0709302060,2025-01-01,split,TRUE,Annotated,Established,HTS,FALSE,484f_2025-01.pdf,48a5e8fb7bcb98cee0d2ac3757768f7a618bc8794da39dbc35358cf501cf337b,4,484f_2025-01.pdf#r0015;484f_2025-01.pdf#r0018,NA
0709304000,0709304020,2025-01-01,split,TRUE,Annotated,Established,HTS,FALSE,484f_2025-01.pdf,48a5e8fb7bcb98cee0d2ac3757768f7a618bc8794da39dbc35358cf501cf337b,4,484f_2025-01.pdf#r0019;484f_2025-01.pdf#r0020,NA
0709304000,0709304040,2025-01-01,split,TRUE,Annotated,Established,HTS,FALSE,484f_2025-01.pdf,48a5e8fb7bcb98cee0d2ac3757768f7a618bc8794da39dbc35358cf501cf337b,4,484f_2025-01.pdf#r0019;484f_2025-01.pdf#r0021,NA
0709304000,0709304060,2025-01-01,split,TRUE,Annotated,Established,HTS,FALSE,484f_2025-01.pdf,48a5e8fb7bcb98cee0d2ac3757768f7a618bc8794da39dbc35358cf501cf337b,4,484f_2025-01.pdf#r0019;484f_2025-01.pdf#r0022,NA
0709999080,0709999005,2025-01-01,split,TRUE,Discontinued,Established,HTS,FALSE,484f_2025-01.pdf,48a5e8fb7bcb98cee0d2ac3757768f7a618bc8794da39dbc35358cf501cf337b,5,484f_2025-01.pdf#r0023;484f_2025-01.pdf#r0024,NA
0709999080,0709999085,2025-01-01,split,TRUE,Discontinued,Established,HTS,FALSE,484f_2025-01.pdf,48a5e8fb7bcb98cee0d2ac3757768f7a618bc8794da39dbc35358cf501cf337b,5,484f_2025-01.pdf#r0024;484f_2025-01.pdf#r0025,NA
0804304000,0804304010,2025-01-01,split,TRUE,Annotated,Established,HTS,FALSE,484f_2025-01.pdf,48a5e8fb7bcb98cee0d2ac3757768f7a618bc8794da39dbc35358cf501cf337b,5,484f_2025-01.pdf#r0026;484f_2025-01.pdf#r0027,NA
0804304000,0804304090,2025-01-01,split,TRUE,Annotated,Established,HTS,FALSE,484f_2025-01.pdf,48a5e8fb7bcb98cee0d2ac3757768f7a618bc8794da39dbc35358cf501cf337b,5,484f_2025-01.pdf#r0026;484f_2025-01.pdf#r0028,NA
0805404000,0805404010,2025-01-01,split,TRUE,Annotated,Established,HTS,FALSE,484f_2025-01.pdf,48a5e8fb7bcb98cee0d2ac3757768f7a618bc8794da39dbc35358cf501cf337b,6,484f_2025-01.pdf#r0029;484f_2025-01.pdf#r0030,NA
0805404000,0805404090,2025-01-01,split,TRUE,Annotated,Established,HTS,FALSE,484f_2025-01.pdf,48a5e8fb7bcb98cee0d2ac3757768f7a618bc8794da39dbc35358cf501cf337b,6,484f_2025-01.pdf#r0029;484f_2025-01.pdf#r0031,NA
