hts10,cty_code,usmca_share
0807114060,2010,1
0807114080,2010,1
0807114090,2010,1
0807192000,2010,1
0807198020,2010,1
0807198040,2010,1
0807200000,2010,1
0808100030,1220,1
0808100065,1220,1
0809290000,1220,1
0809404000,1220,0.8835938549737985
0810102020,2010,1
0810102040,2010,1
0810102060,2010,1
0810102080,1220,1
0810102080,2010,1
0810209022,1220,1
0810209022,2010,1
0810209024,1220,1
0810209024,2010,1
0810209045,2010,1
0810209060,1220,1
0810209060,2010,1
0810300000,1220,1
0810400024,1220,1
0810400024,2010,1
0810400026,1220,1
0810400026,2010,1
0810400029,1220,1
0810400029,2010,1
0810400040,1220,1
0810902730,2010,1
0810904620,2010,1
0810904630,2010,1
0810904640,2010,1
0810904650,2010,1
0810904670,2010,1
0810904675,2010,1
0810904680,2010,1
0811100020,1220,1
0811100020,2010,1
0811100050,2010,1
0811100070,1220,1
0811100070,2010,1
0811202025,1220,1
0811202025,2010,1
0811202035,2010,1
0811202040,2010,1
0811204030,1220,1
0811204030,2010,1
0811901000,1220,0.276612719398222
0811901000,2010,1
0811902024,1220,0.9995872001662947
0811902030,1220,0.973975351103468
0811902040,1220,1
0811902040,2010,0.8676296554888826
0811902500,2010,1
0811903000,2010,1
0811903500,1220,1
0811904000,2010,1
0811905000,2010,1
0811905200,2010,1
0811905500,2010,1
0811908040,1220,0.9940973836537494
0811908060,1220,1
0811908085,1220,0.8112724660893113
0811908085,2010,1
0811908090,1220,1
0811908097,1220,0.7071307086296261
0811908097,2010,1
0813300000,1220,1
0813402010,1220,1
0813402020,1220,1
0813402060,1220,1
0813402060,2010,1
0813408000,1220,1
0813408000,2010,1
0813409000,1220,1
0813409000,2010,1
0813500020,1220,1
0813500020,2010,1
0813500040,1220,1
0813500060,1220,1
0813500060,2010,1
0814001000,2010,1
0901110015,2010,1
0901110025,2010,0.9276111297910077
0901110040,2010,1
0901110050,2010,1
0901110065,2010,0.9691725941206865
0901120020,2010,0.9852913526539215
0901120035,1220,0
0901120035,2010,0.9622102431048427
0901120040,2010,1
0901120075,2010,1
0901210015,1220,0.04006034193764666
0901210015,2010,1
0901210020,1220,0.1543703636231398
0901210029,1220,0.057108578567692005
0901210040,1220,1
0901210049,1220,0.24445383561156905
0901210049,2010,1
0901210055,1220,0.07317109792307144
0901210065,1220,0.2730637438575817
0901210065,2010,0.7424745428131596
0901220035,1220,0.23374479806479892
0901220040,1220,0.22519282026760176
0901220050,1220,0
0901220055,1220,0.07983705402888587
0901220065,2010,1
0901220070,1220,0
0901220090,1220,0.9563500753987373
0901902000,1220,1
0902101015,1220,0
0902101050,1220,0.9818870127305972
0902109015,1220,1
0902109050,1220,0.7197040121964824
0902209015,1220,1
0902209050,1220,0.5457709711103377
0902300015,1220,0.2395495912386241
0902300050,1220,0.9471361780395133
0902300090,1220,0.9529951403352177
0902400000,1220,1
0904110020,2010,1
0904120000,2010,1
0904214000,2010,1
0904216020,2010,1
0904216090,1220,1
0904216090,2010,1
0904218000,2010,0.6238894071007987
0904224000,2010,1
0904227300,2010,1
0904227600,1220,1
0904227600,2010,1
0904228000,2010,0
0906110000,2010,1
0906200000,1220,1
0907100000,2010,1
0909210000,1220,1
0909210000,2010,1
0909220000,1220,1
0909310000,1220,1
0909310000,2010,1
0909320000,1220,1
0909320000,2010,1
0909610000,1220,1
0909620000,1220,1
0909620000,2010,1
0910120000,2010,1
0910910000,1220,0.9118380383268082
0910910000,2010,0
0910990500,2010,1
0910990600,2010,1
0910990700,2010,1
0910991000,1220,1
0910994000,2010,1
0910995000,1220,1
0910995000,2010,1
0910996000,1220,1
0910996000,2010,1
1001190025,1220,1
1001190051,1220,1
1001190053,1220,1
1001910000,1220,1
1001990005,1220,0.0017273811916232603
1001990007,1220,1
1001990009,1220,1
1001990010,1220,1
1001990017,1220,1
1001990018,1220,0.6290935108117898
1001990030,1220,1
1001990033,1220,1
1001990036,1220,1
1001990045,1220,1
1001990097,1220,1
1002100010,1220,1
1002100090,1220,1
1002900000,1220,1
1003100000,1220,1
1003902000,1220,1
1003904020,1220,1
1003904030,1220,1
1004100000,1220,1
1004900010,1220,1
1004900090,1220,1
1005100090,1220,1
1005100090,2010,1
1005902015,1220,1
1005902025,1220,1
1005902025,2010,1
1005904040,1220,0.5436448986867907
1005904040,2010,1
1005904060,1220,1
1005904060,2010,1
1006204035,1220,1
1006301020,1220,1
1006301040,1220,1
1006309061,1220,1
1006309061,2010,1
1006309075,2010,1
1006309085,1220,1
1006400000,1220,1
1006400000,2010,1
1008100000,1220,1
1008290000,1220,1
1008300000,1220,1
1008500010,1220,1
1008500090,2010,1
1008600000,1220,1
1008900120,1220,0.9928698502920312
1008900140,1220,1
1101000010,1220,0.9987943941948666
1101000010,2010,0
1101000020,1220,1
1101000020,2010,1
1101000030,1220,1
1101000050,1220,1
1101000060,1220,0.9867130264204731
1101000060,2010,1
1102200000,1220,1
1102200000,2010,1
1102902000,1220,1
1102902500,1220,1
1102902500,2010,1
1102902700,1220,1
1102903000,1220,1
1102906000,1220,1
1102906000,2010,1
1103110020,1220,1
1103110020,2010,1
1103110040,1220,1
1103130020,1220,1
1103130020,2010,1
1103130060,1220,1
1103191200,1220,1
1103199000,1220,1
1103200010,1220,1
1103200010,2010,1
1104120000,1220,1
1104191000,1220,1
1104199000,1220,1
1104220000,1220,0.9965484173945884
1104220000,2010,1
1104230000,1220,1
1104230000,2010,1
1104291000,1220,1
1104299000,1220,1
1104300000,1220,1
1105100000,1220,1
1105200000,1220,1
1105200000,2010,1
1106100000,1220,1
1106302000,2010,1
1106304000,1220,1
1106304000,2010,1
1107100000,1220,1
1107200000,2010,1
1108110010,1220,1
1108110090,1220,1
1108120010,2010,0.9668400293203951
1108120090,1220,1
1108130010,1220,1
1108130090,1220,1
1108190090,1220,1
1108200000,2010,1
1109009020,1220,1
1201100000,1220,0.5450688110579439
1201900005,1220,1
1201900010,1220,1
1201900090,1220,1
1202429040,2010,1
1204000035,1220,1
1204000055,1220,1
1204000075,1220,1
1205100010,1220,1
1205100020,1220,1
1205100090,1220,1
1205900090,1220,1
1206000031,1220,1
1206000070,1220,1
1206000090,1220,1
1206000090,2010,1
1207400010,2010,1
1207400090,1220,1
1207400090,2010,1
1207500000,1220,1
1207600000,1220,1
1207990360,1220,1
1207990391,1220,1
1207990391,2010,1
1208100010,1220,1
1208100090,1220,1
1208100090,2010,1
1208900000,1220,1
1208900000,2010,1
1209210020,1220,1
1209210040,1220,1
1209222000,1220,1
1209224020,1220,1
1209224030,1220,1
1209224049,1220,1
