hts10,country,s232_annex,months,realized_vw,T_full_vw,T_us_vw,T_exit_vw,share_full,share_us_origin,share_exit,share_unexplained,share_ambiguous,z0_raw_vw,u_raw_vw,any_partial_month,con_val
8544429090,5700,annex_1b,2,0.45004595786179985,0.4279947859199809,0.27799478591998095,0.27799478591998095,1,0,0,0,0,-0.14700781294546006,-0.14700781294546006,TRUE,165696351
3004909215,4190,annex_1b,2,9.178739757942846e-6,0.25,0.10000000000000002,0,0,0,1,0,0,0.9999632850409682,1.6666054750682806,TRUE,165382181
3004909216,4792,annex_1b,2,1.5486859152219596e-6,0.25,0.1,0,0,0,1,0,0,0.9999938052563391,1.6666563420938987,TRUE,161427180
7606123045,5700,annex_1a,2,0.7251670106392062,0.75,0.3499999999999999,0.3499999999999999,0.347120859349655,0,0,0.652879140650345,0,0.062082473401984556,0.062082473401984556,TRUE,157522749
8471602000,5700,annex_1b,2,0.003037941145852608,0.25,0.1,0,0,0,1,0,0,0.9878482354165896,1.646413725694316,TRUE,157510293
8418100055,2010,annex_1b,2,0.22156172632025065,0.25,0.1,0,1,0,0,0,0,0.11375309471899744,0.1895884911983291,TRUE,153766788
7326908688,5700,annex_1a,2,0.7408225541388834,0.6915,0.2915,0.2915,0.4479226364276116,0,0,0.5520773635723883,0,-0.1233063853472086,-0.1233063853472086,TRUE,149245228
3004909270,5330,annex_1b,2,5.104019143801806e-5,0.25,0.10000000000000002,0,0,0,1,0,0,0.999795839234248,1.6663263987237467,TRUE,147452425
8479899599,1220,annex_3,2,0.01978962513571,0.00574414958992091,0.10000000000000002,9.573582649868186e-4,1,0,0,0,1,-2.934215133345609,NA,TRUE,142833984
2710193020,5800,annex_1b,2,0.001513668054959298,0.32,0.17,0.07,0,0,0,1,0,1.2739453277801627,2.123242212966938,TRUE,141766221
8415908085,5700,annex_1b,2,0.29686555991127556,0.3390000000000001,0.18900000000000003,0.089,1,0,0,0,0,0.16853776035489795,0.2808962672581633,TRUE,136745603
8471490000,2010,annex_1b,2,1.6660679329936996e-4,0.25,0.1,0,0,0,1,0,0,0.9993335728268026,1.6655559547113377,TRUE,131711316
8503006500,5880,annex_1b,2,0.05818410063668975,0.2787334870512429,0.1287334870512429,0.12873348705124288,0,0,0,1,0,1.4703292427636876,1.4703292427636878,TRUE,130997711
8701941000,4280,annex_1b,2,0.24982762962817323,0.25,0.1,0.1,1,0,0,0,0,0.0011491358121783022,0.0011491358121783022,TRUE,122576170
8516500090,5700,annex_1b,2,0.12138533249123767,0.26191906609229304,0.11191906609229305,0.11191906609229305,0,1,0,0,1,0.9368915573403692,0.9368915573403692,TRUE,121628303
7326908688,2010,annex_1a,2,0.2424991815125043,0.5045742115895366,0.10457421158953664,0.020347355001731727,0,0,0,1,0,0.5412236568698255,0.6551875751925808,TRUE,120154554
