hts10,cty_code,usmca_share,total_value,usmca_value
0302895077,1220,1,379507,379507
0302895077,2010,1,868977,868977
0302912000,1220,0,0,0
0302912000,2010,0,0,0
0302914010,1220,0,0,0
0302914010,2010,0,0,0
0302914090,1220,1,12236,12236
0302914090,2010,0,0,0
0302920000,1220,0,0,0
0302920000,2010,0,0,0
0302990000,1220,0,0,0
0302990000,2010,1,2646,2646
0303110000,1220,1,422380,422380
0303110000,2010,0,0,0
0303120012,1220,1,1100689,1100689
0303120012,2010,0,0,0
0303120022,1220,1,135461,135461
0303120022,2010,0,0,0
0303120032,1220,1,535282,535282
0303120032,2010,0,0,0
0303120052,1220,1,227020,227020
0303120052,2010,0,0,0
0303120062,1220,1,123760,123760
0303120062,2010,0,0,0
0303130000,1220,0,0,0
0303130000,2010,0,0,0
0303140000,1220,0,0,0
0303140000,2010,0,0,0
0303190100,1220,0,10343,0
0303190100,2010,0,0,0
0303230000,1220,0,0,0
0303230000,2010,0,0,0
0303240010,1220,0,0,0
0303240010,2010,0,0,0
0303240020,1220,0,0,0
0303240020,2010,0,0,0
0303240050,1220,0,0,0
0303240050,2010,0,0,0
0303250100,1220,0,0,0
0303250100,2010,0,0,0
0303260000,1220,1,39740,39740
0303260000,2010,0,0,0
0303290110,1220,0,0,0
0303290110,2010,0,0,0
0303290150,1220,0,0,0
0303290150,2010,0,0,0
0303310010,1220,1,172032,172032
0303310010,2010,0,0,0
0303310020,1220,1,420883,420883
0303310020,2010,0,0,0
0303310030,1220,0.3005820427375179,245171,73694
0303310030,2010,0,0,0
0303320000,1220,0,0,0
0303320000,2010,0,0,0
0303330000,1220,0,0,0
0303330000,2010,0,0,0
0303340000,1220,0,0,0
0303340000,2010,0,0,0
0303390110,1220,1,808933,808933
0303390110,2010,0,0,0
0303390120,1220,0,0,0
0303390120,2010,0,0,0
0303390130,1220,0,0,0
0303390130,2010,0,0,0
0303390195,1220,1,46689,46689
0303390195,2010,0,0,0
0303410000,1220,1,10994,10994
0303410000,2010,0,0,0
0303420020,1220,0,0,0
0303420020,2010,0,0,0
0303420040,1220,0,0,0
0303420040,2010,0,0,0
0303420060,1220,0,0,0
0303420060,2010,0,0,0
0303430000,1220,0,0,0
0303430000,2010,0,0,0
0303440000,1220,0,0,0
0303440000,2010,0,0,0
0303450110,1220,0,0,0
0303450110,2010,0,0,0
0303450150,1220,0,0,0
0303450150,2010,0,0,0
0303460000,1220,0,0,0
0303460000,2010,0,0,0
0303490200,1220,0,0,0
0303490200,2010,0,0,0
0303510000,1220,1,228435,228435
0303510000,2010,0,0,0
0303530000,1220,0,0,0
0303530000,2010,1,301304,301304
0303540000,1220,0,0,0
0303540000,2010,1,49377,49377
0303550000,1220,0,0,0
0303550000,2010,1,54517,54517
0303560000,1220,0,0,0
0303560000,2010,0,0,0
0303570010,1220,0,0,0
0303570010,2010,0,0,0
0303570090,1220,0,0,0
0303570090,2010,0,0,0
0303590000,1220,0,0,0
0303590000,2010,1,166366,166366
0303630010,1220,0,0,0
0303630010,2010,0,0,0
0303630090,1220,0,0,0
0303630090,2010,0,0,0
0303640000,1220,0,0,0
0303640000,2010,0,0,0
0303650000,1220,1,8908,8908
0303650000,2010,0,0,0
0303660000,1220,0,0,0
0303660000,2010,0,0,0
0303670000,1220,0,0,0
0303670000,2010,0,0,0
0303680000,1220,0,0,0
0303680000,2010,0,0,0
0303690000,1220,0,0,0
0303690000,2010,0,0,0
0303740000,1220,0,0,0
0303740000,2010,0,0,0
0303810011,1220,0,0,0
0303810011,2010,0,0,0
0303810091,1220,0,0,0
0303810091,2010,1,8663,8663
0303820000,1220,0,0,0
0303820000,2010,0,0,0
0303830000,1220,0,0,0
0303830000,2010,0,0,0
0303840000,1220,0,0,0
0303840000,2010,0,0,0
0303890001,1220,1,148584,148584
0303890001,2010,0,0,0
0303890004,1220,1,358880,358880
0303890004,2010,0,0,0
0303890010,1220,0,0,0
0303890010,2010,0,0,0
0303890013,1220,0,0,0
0303890013,2010,0,0,0
0303890028,1220,1,16010,16010
0303890028,2010,0,0,0
0303890031,1220,1,17621,17621
0303890031,2010,0,0,0
0303890034,1220,0,0,0
0303890034,2010,0,0,0
0303890037,1220,1,185601,185601
0303890037,2010,0,0,0
0303890040,1220,0,0,0
0303890040,2010,0,0,0
0303890043,1220,1,2113,2113
0303890043,2010,0,0,0
0303890046,1220,0,0,0
0303890046,2010,0,0,0
0303890049,1220,0,0,0
0303890049,2010,0,0,0
0303890052,1220,0,0,0
0303890052,2010,0,0,0
0303890055,1220,0,0,0
0303890055,2010,0,0,0
0303890058,1220,1,121329,121329
0303890058,2010,0,0,0
0303890061,1220,1,117589,117589
0303890061,2010,0,0,0
0303890064,1220,1,15431,15431
0303890064,2010,0,0,0
0303890067,1220,0,0,0
0303890067,2010,1,804796,804796
0303890070,1220,0,0,0
0303890070,2010,1,6391,6391
0303890080,1220,1,70888,70888
0303890080,2010,1,697303,697303
0303912000,1220,0,0,0
0303912000,2010,0,0,0
0303914020,1220,0,0,0
0303914020,2010,0,0,0
0303914040,1220,1,563959,563959
0303914040,2010,0,0,0
0303914050,1220,0,0,0
0303914050,2010,0,0,0
0303914060,1220,0,0,0
0303914060,2010,0,0,0
0303914095,1220,1,194050,194050
0303914095,2010,0,0,0
0303920000,1220,0,0,0
0303920000,2010,0,0,0
0303990000,1220,0,0,0
0303990000,2010,0,0,0
0304310000,1220,0,0,0
0304310000,2010,1,519606,519606
0304320010,1220,0,0,0
0304320010,2010,0,0,0
0304320020,1220,0,0,0
0304320020,2010,0,0,0
0304320090,1220,0,0,0
0304320090,2010,0,0,0
0304330000,1220,0,0,0
0304330000,2010,0,0,0
0304390000,1220,1,17851,17851
0304390000,2010,0,0,0
0304410010,1220,1,3887556,3887556
0304410010,2010,0,0,0
0304410020,1220,0,0,0
0304410020,2010,0,0,0
0304410090,1220,1,3877303,3877303
0304410090,2010,0,0,0
0304420000,1220,1,120938,120938
0304420000,2010,0,0,0
0304430010,1220,0,0,0
0304430010,2010,0,0,0
0304430015,1220,0,0,0
0304430015,2010,0,0,0
0304430020,1220,1,81314,81314
0304430020,2010,0,0,0
0304430025,1220,0,0,0
0304430025,2010,0,0,0
0304430090,1220,1,199912,199912
0304430090,2010,0,0,0
0304440010,1220,1,3600,3600
0304440010,2010,0,0,0
0304440015,1220,0,0,0
0304440015,2010,0,0,0
0304440020,1220,1,246202,246202
0304440020,2010,0,0,0
0304440025,1220,1,5071,5071
0304440025,2010,0,0,0
0304440030,1220,0,0,0
0304440030,2010,0,0,0
0304440090,1220,0,0,0
0304440090,2010,0,0,0
0304450000,1220,0,0,0
0304450000,2010,0,0,0
0304460000,1220,0,0,0
0304460000,2010,0,0,0
0304470000,1220,0,0,0
0304470000,2010,0,0,0
0304480000,1220,0,0,0
0304480000,2010,0,0,0
0304490103,1220,0,0,0
