hts10,cty_code,usmca_share
0304870000,1220,0
0304870000,2010,0
0304880000,2010,0
0304891025,1220,0
0304891030,1220,0
0304891090,1220,0
0304891090,2010,0
0304895003,1220,0
0304895006,1220,0
0304895009,1220,0
0304895015,1220,0
0304895020,1220,0
0304895025,1220,0
0304895030,1220,0
0304895035,1220,0
0304895040,1220,0
0304895091,1220,0
0304895091,2010,0
0304951025,1220,0
0304959000,1220,1
0304960000,2010,1
0304991109,1220,0
0304991183,1220,0
0304991190,2010,0
0304991194,1220,0
0304999190,1220,1
0304999190,2010,1
0304999192,1220,1
0304999192,2010,1
0305204020,1220,0
0305204040,1220,0
0305204065,1220,0
0305320010,1220,0
0305320090,1220,0
0305396110,1220,0
0305396180,1220,0
0305410000,1220,0.9989897055855588
0305410000,2010,1
0305420020,1220,0
0305420050,1220,0
0305420060,1220,0
0305430000,1220,0
0305492000,1220,0
0305494020,1220,0
0305494045,1220,0
0305494045,2010,0
0305510000,1220,0
0305520000,1220,0
0305530000,1220,0
0305590001,1220,0
0305590001,2010,0
0305612000,1220,0.9447612504294057
0305620025,1220,0
0305691021,1220,0
0305691022,1220,0
0305691029,1220,0
0305691042,1220,0
0305692000,1220,0.9864739247941615
0305693000,1220,0
0305720000,1220,0
0305720000,2010,0
0306110010,2010,0
0306110020,1220,0
0306110020,2010,0
0306120010,1220,0
0306120030,1220,0
0306120050,1220,0
0306120070,1220,0
0306142000,1220,1
0306142000,2010,1
0306144020,1220,0
0306144030,1220,0
0306144090,1220,0
0306144090,2010,0
0306160003,1220,0
0306160006,1220,0
0306160009,1220,0
0306160012,1220,0
0306160018,1220,0
0306160021,1220,0
0306160024,1220,0
0306160027,1220,0
0306160040,1220,0
0306160040,2010,0
0306170004,2010,0
0306170005,2010,0
0306170007,2010,0
0306170008,2010,0
0306170010,2010,0
0306170011,1220,0
0306170011,2010,0
0306170013,2010,0
0306170014,2010,0
0306170016,2010,0
0306170017,1220,0
0306170017,2010,0
0306170019,2010,0
0306170020,2010,0
0306170022,2010,0
0306170023,2010,0
0306170025,2010,0
0306170026,2010,0
0306170028,2010,0
0306170029,1220,0
0306170029,2010,0
0306170041,1220,0
0306170041,2010,0
0306170042,2010,0
0306190110,2010,0
0306190161,1220,0
0306190161,2010,0
0306310000,2010,0
0306320010,1220,0
0306320090,1220,0
0306320090,2010,0
0306332000,1220,1
0306332000,2010,1
0306334000,1220,0
0306350020,1220,0
0306350020,2010,0
0306360020,2010,0
0306390100,1220,0
0306390100,2010,0
0306910000,2010,0
0306920000,1220,0
0306934000,1220,0
0306934000,2010,0
0306950020,1220,0
0306950020,2010,0
0306990100,1220,0
0306990100,2010,0
0307110020,1220,0
0307110060,1220,0
0307110060,2010,0
0307110080,1220,0
0307110080,2010,0
0307120060,2010,0
0307120080,2010,0
0307210000,1220,0
0307210000,2010,0
0307220000,1220,0
0307220000,2010,0
0307290100,1220,0
0307290100,2010,0
0307310010,1220,0
0307310010,2010,0
0307310090,1220,0
0307320000,2010,0
0307390100,1220,0
0307420040,2010,0
0307430010,1220,0
0307430022,2010,0
0307520000,1220,0
0307520000,2010,0
0307590100,2010,0
0307600000,2010,1
0307710050,1220,0
0307710050,2010,0
0307710070,1220,0
0307710070,2010,0
0307710090,1220,0
0307720030,2010,0
0307720055,1220,0
0307720055,2010,0
0307790130,1220,0
0307790155,1220,0
0307790155,2010,0
0307790160,1220,0
0307810000,2010,0
0307820000,2010,0
0307830000,2010,0
0307840000,2010,0
0307870000,2010,0
0307910330,1220,0
0307910390,1220,0
0307910390,2010,0
0307920130,2010,0
0307920190,1220,0
0307920190,2010,0
0307990300,1220,0
0307990300,2010,0
0308110000,1220,0
0308120000,1220,0
0308120000,2010,0
0308190100,1220,0
0308190100,2010,0
0308210021,1220,0
0308210021,2010,0
0308210029,1220,0
0308220000,2010,0
0308900100,2010,0
0309901061,1220,0
0309903000,2010,0
0401100000,2010,1
0401202000,1220,1
0401202000,2010,1
0401204000,1220,0.8431375364337301
0401204000,2010,1
0401400500,1220,1
0401402500,1220,1
0401402500,2010,1
0401500200,2010,1
0401500500,2010,0
0401502500,2010,1
0402101000,1220,1
0402101000,2010,1
0402105000,1220,0.7219056921156872
0402212500,2010,1
0402215000,1220,1
0402215000,2010,1
0402219000,2010,1
0402911000,1220,1
0402911000,2010,1
0402917000,2010,1
0402991000,1220,1
0402991000,2010,1
0402994500,2010,1
0403205000,1220,0
0403209000,1220,1
0403209000,2010,1
0403901600,2010,1
0403906500,1220,0
0404100500,1220,1
0404100500,2010,1
0404102000,1220,1
0404105090,1220,1
0404109000,1220,1
0404901000,1220,0.9613772260581004
0404907000,1220,0.9983921475377602
0404907000,2010,1
0405102000,1220,1
0405102000,2010,1
0405901020,1220,1
0405901020,2010,1
0405902020,1220,0
0405902020,2010,1
0405902040,1220,0
0406100800,2010,0
0406104400,1220,1
0406105800,2010,0
0406106400,1220,1
0406108400,1220,1
0406108400,2010,1
0406108800,1220,0.7456415951834695
0406108800,2010,0
0406109500,1220,1
0406109500,2010,0.9988574690280839
0406209500,2010,1
0406309100,2010,0
0406309500,1220,1
0406309500,2010,1
0406404000,1220,0
0406405400,1220,0.8940874194193578
0406407000,1220,0
0406900810,1220,1
0406900890,2010,0
0406901200,1220,0
0406902500,2010,1
0406904200,1220,0
0406904300,2010,1
0406905900,1220,1
0406907800,1220,1
0406909500,1220,1
0406909700,1220,0.8167228729845827
0406909700,2010,1
0406909900,1220,1
0406909900,2010,0.9988697041014158
0407110000,1220,1
0407190000,1220,1
0407290000,1220,1
0407900000,2010,1
0408190000,1220,0.9953233622633864
0408910000,1220,1
0408990000,1220,1
0409000005,1220,0.9203889851198189
0409000005,2010,1
0409000010,1220,0.6671150472599691
0409000010,2010,1
0409000035,1220,0.9655535295951683
0409000035,2010,1
0409000045,1220,0.9171182375410856
0409000045,2010,1
0409000056,1220,0.928933997500028
0409000056,2010,0.9631026752003775
0409000065,1220,0.9894410584987238
0409000065,2010,0.9850979744302798
0410100000,1220,0.70010520866385
0410100000,2010,1
0410900000,1220,1
0410900000,2010,1
0504000020,1220,0
0504000020,2010,0
0504000040,1220,0
0504000040,2010,0
0504000060,1220,0
0504000060,2010,0
0505100050,1220,0
0505100055,1220,0
0505902020,1220,0.9291803716999997
0506900020,1220,0
0506900020,2010,0
0506900040,1220,0
0506900040,2010,0
0507100000,1220,0
0507900010,1220,0
0507900010,2010,0
0507900090,1220,0
0508000000,2010,0
0510004010,1220,0
0510004020,2010,0
0510004040,1220,0
0510004040,2010,0
0511100010,1220,0
0511100010,2010,0
0511100090,1220,0
0511910010,1220,0
0511910090,1220,0
0511910090,2010,0
0511992000,1220,0
0511992000,2010,0
0511993060,1220,0
0511993060,2010,0
0511993600,1220,1
0511994024,1220,1
0511994028,1220,1
0511994030,1220,1
0511994040,1220,0.9580336158393277
0511994070,1220,0.8755088691962788
0511994070,2010,0.9986248379728074
0601101500,1220,1
0601103000,1220,1
0601104500,1220,1
0601106000,1220,1
0601109020,1220,1
0601109080,1220,0.9742514017872137
0601109080,2010,1
0601201000,2010,1
0601209000,1220,0.9987027858893878
0601209000,2010,0
0602100000,1220,1
0602100000,2010,0.9909603608551052
0602200000,1220,0
0602200000,2010,0
0602300000,1220,1
0602400000,1220,0
0602902000,1220,0
0602903010,1220,1
0602903090,1220,0.9981096381464496
0602904000,1220,0.9963712231493305
0602905000,1220,0.9803754518116752
0602906010,1220,0.9990123189403246
0602906020,1220,0.9997974526365573
0602906090,1220,0.9989902197074264
0602906090,2010,1
0602909010,1220,0.992648483882047
0602909090,1220,0.9982087892899171
0602909090,2010,1
0603110030,1220,1
0603110030,2010,1
0603110050,1220,1
0603110050,2010,0.967520585810864
0603123000,2010,1
0603127000,2010,1
0603130060,1220,1
0603140010,1220,1
0603140020,1220,1
0603140020,2010,1
0603150000,1220,0.9936820100120136
0603150000,2010,1
0603190105,1220,1
0603190107,1220,1
0603190107,2010,1
0603190109,2010,1
0603190114,1220,1
0603190114,2010,1
0603190115,1220,1
0603190116,1220,1
0603190117,1220,1
0603190118,1220,0.9997335769580269
0603190118,2010,1
0603190119,2010,1
0603190120,2010,1
0603190125,1220,1
0603190127,1220,1
0603190129,1220,0.9993665378124138
0603190131,1220,1
0603190135,1220,0.9943918368248934
0603190135,2010,1
0603190140,1220,1
0603190140,2010,1
0603190141,2010,1
0603190142,1220,1
0603190143,1220,1
0603190143,2010,1
0603190145,1220,1
0603190195,1220,0.9998254995290461
0603190195,2010,1
0603900000,1220,0.5181626536260774
0603900000,2010,1
0604200011,1220,0
0604200015,2010,0
