"ch99_code","rate","authority","country_type","countries","general_raw","other_raw","description"
"9903.80.46",,"section_232","all","","Free","","Bars and rods, hot-rolled, in irregularly wound coils, provided for in subheading 7213.91.30, 7213.91.45, 7213.91.60, 7213.99.00 (except for statistical reporting number 7213.99.0060), 7227.20.00 (exc"
"9903.80.47",,"section_232","all","","Free","","Wire (other than of stainless steel), provided for in subheading 7217.10.10, 7217.10.20, 7217.10.30, 7217.10.40, 7217.10.50, 7217.10.60, 7217.10.70, 7217.10.80, 7217.10.90, 7217.20.15, 7217.20.30, 721"
"9903.80.48",,"section_232","all","","Free","","Bars, hot-rolled, not of stainless steel, provided for in subheading 7213.20.00, 7213.99.00 (except for statistical reporting numbers 7213.99.0030 and 7213.99.0090), 7214.10.00, 7214.30.00, 7214.91.00"
"9903.80.49",,"section_232","all","","Free","","Bars, cold-finished, not of stainless steel, provided for in subheading 7215.10.00, 7215.50.00, 7215.90.30, 7215.90.50, 7228.20.50, 7228.50.50 or 7228.60.80"
"9903.80.50",,"section_232","all","","Free","","Angles, shapes and sections of a type known as â€œlight-shaped barsâ€ and other products, provided for in subheading 7216.10.00, 7216.21.00, 7216.22.00 or 7228.70.30 (except for statistical reporting"
"9903.80.51",,"section_232","all","","Free","","Reinforcing bars, provided for in subheading 7213.10.00, 7214.20.00 or 7228.30.80 (except for statistical reporting numbers 7228.30.8005, 7228.30.8015, 7228.30.8041, 7228.30.8045 and 7228.30.8070)"
"9903.80.52",,"section_232","all","","Free","","Sheet piling, provided for in subheading 7301.10.00"
"9903.80.53",,"section_232","all","","Free","","Nonenumerated railroad goods, provided for in subheading 7302.40.00, 7302.90.10 and 7302.90.90"
"9903.80.54",,"section_232","all","","Free","","Rails other than those known as â€œstandard rails,â€ provided for in subheading 7302.10.10 (except for statistical reporting numbers 7302.10.1010, 7302.10.1035, 7302.10.1065 and 7302.10.1075)"
"9903.80.55",,"section_232","all","","Free","","Rails known as â€œstandard rails,â€ provided for in subheading 7302.10.10 (except for statistical reporting numbers 7302.10.1015, 7302.10.1025, 7302.10.1045 and 7302.10.1055) or 7302.10.50"
"9903.80.56",,"section_232","all","","Free","","Products of tool steel and other products, provided for in subheading 7224.10.00 (except for statistical reporting numbers 7224.10.0005 and 7224.10.0075), 7224.90.00 (except for statistical reporting "
"9903.80.57",,"section_232","all","","Free","","Blooms, billets and slabs, semi-finished, provided for in subheading 7207.11.00, 7207.12.00, 7207.19.00, 7207.20.00 or 7224.90.00 (except for statistical reporting numbers 7224.90.0015, 7224.90.0025, "
"9903.80.58",,"section_232","all","","Free","","Ingots, provided for in subheading 7206.10.00, 7206.90.00 or 7224.10.00 (except for statistical reporting number 7224.10.0045)"
"9903.80.60",,"section_232","all","","The duty provided in the applicable subheading","","Goods granted relief from the application of quantitative limitation otherwise imposed in relation to subheadings 9903.80.05 through 9903.80.58, for any steel article determined by the Secretary not t"
"9903.80.61","0.25","section_232","all","","The duty provided in the applicable subheading + 25%","","Goods subject to a qualifying contract for which relief has been provided from the application of quantitative limitation otherwise imposed in relation to subheadings 9903.80.05 through 9903.80.58, pr"
"9903.80.62",,"section_232","all","","The duty provided in the applicable subheading","","Goods subject to a qualifying contract or other written agreement for which relief has been provided from the application of quantitative limitation otherwise imposed in relation to subheading 9903.80"
"9903.80.65",,"section_232","all","","Free","","Hot-rolled sheet (provided for in subheading 7208.10.60, 7208.26.00, 7208.27.00, 7208.38.00, 7208.39.00, 7208.40.60, 7208.53.00, 7208.54.00, 7208.90.00, 7225.30.70 or 7225.40.70)"
"9903.80.66",,"section_232","all","","Free","","Hot-rolled strip (provided for in subheading 7211.19.15, 7211.19.20, 7211.19.30, 7211.19.45, 7211.19.60, 7211.19.75, 7226.91.70 or 7226.91.80)"
"9903.80.67",,"section_232","all","","Free","","Hot-rolled plate, in coils (provided for in subheading 7208.10.15, 7208.10.30, 7208.25.30, 7208.25.60, 7208.36.00, 7208.37.00, 7211.14.00 (except for statistical reporting number 7211.14.0030 or 7211."
"9903.80.68",,"section_232","all","","Free","","Cold-rolled sheet, provided for in subheading 7209.15.00, 7209.16.00, 7209.17.00, 7209.18.15, 7209.18.60, 7209.25.00, 7209.26.00, 7209.27.00, 7209.28.00, 7209.90.00, 7210.70.30, 7225.50.70, 7225.50.80"
